Rank,Claimed,Balance,Change%
186,268319.87,12664.139419115343,-0.952802081265486
187,266551.95,12581.124748959002,-0.9528004775468384
188,266401.3858333333,25148.03634151866,-0.9056009552545952
189,265872.8951666667,7.275957614183426e-12,-1.0
190,265865.355,-5.820766091346741e-11,-1.0000000000000002
191,262853.8733333333,-3.637978807091713e-11,-1.0000000000000002
192,261803.28416666668,2356.9900098856237,-0.9909970953290824
193,260818.3783333333,49242.01168383801,-0.8112019099324921
194,260303.51083333328,0.0,-1.0
195,259491.44666666668,0.0,-1.0
196,258816.96750000003,1.4551915228366852e-11,-1.0
197,255827.915,2.9103830456733704e-11,-1.0
198,252995.4583333333,7.275957614183426e-12,-1.0
199,252618.38583333328,-1.091393642127514e-11,-1.0
200,250094.3127874733,-2.182787284255028e-11,-1.0000000000000002
201,248184.0608333333,1.8189894035458565e-11,-1.0
202,247260.1366666667,7.275957614183426e-12,-1.0
203,247212.91,119352.78629453416,-0.517206499067811
204,246969.3741666667,-1.4551915228366852e-11,-1.0
205,246371.89498852377,13257.271543409352,-0.94619000051111
206,246060.52916666667,-4.0017766878008836e-11,-1.0000000000000002
207,245747.81583333333,-7.275957614183426e-12,-1.0
208,245142.1816666667,82146.51376480373,-0.6649025752879084
209,242618.3725,45805.88521442251,-0.8112019104636335
210,237974.0125,8.549250196665524e-11,-0.9999999999999996
211,237007.105,0.0,-1.0
212,236632.6433291005,1.4551915228366852e-11,-1.0
213,234545.6691666667,11070.443586634125,-0.9528004775105544
214,233654.9716666667,1.091393642127514e-11,-1.0
215,233306.6516666667,-1.091393642127514e-11,-1.0
216,232469.1658333333,2.7284841053187847e-12,-1.0
217,232383.7658333333,21936.805573105,-0.9056009549787648
218,231959.4025,2.8194335754960772e-11,-1.0
219,231742.9683307809,299708.9106444467,0.2932815731291308
220,231588.4666666667,1.091393642127514e-11,-1.0
221,230962.65500000003,7.275957614183426e-11,-0.9999999999999998
222,230437.9641666667,5376.561861345635,-0.9766680725513744
223,229056.33333333328,-4.638422979041934e-11,-1.0000000000000002
224,226046.4791666667,7.275957614183426e-12,-1.0
225,225233.0908333333,267898.5374333333,0.1894279674542642
226,223408.0158333333,0.0,-1.0
227,223360.5033333333,7.275957614183426e-12,-1.0
228,222917.8320908913,7.275957614183426e-12,-1.0
229,222239.7566666667,-3.637978807091713e-12,-1.0
230,221408.0951779533,-2.9103830456733704e-11,-1.0000000000000002
231,220909.1091666667,0.8416013686146471,-0.9999961902821852
232,218703.1141888381,1.318767317570746e-11,-1.0
233,218668.03000000003,2.5465851649641987e-11,-1.0
234,216175.1958333333,5.6388671509921544e-11,-0.9999999999999998
235,215010.4191666667,2.182787284255028e-11,-1.0
236,211673.7466666667,-3.2741809263825417e-11,-1.0000000000000002
237,210915.0283333333,9814.496322553385,-0.9534670601705896
238,210675.6283333333,10887.578046779065,-0.94832065705506
239,210375.14166666672,39718.42492066361,-0.8112019100450741
240,209156.9025,0.0,-1.0
241,209095.8216666667,0.0,-1.0
242,207841.9291666667,1.4551915228366852e-11,-1.0
243,207625.7866666667,7.275957614183426e-11,-0.9999999999999996
244,207461.89333333328,29376.306853957056,-0.8584014327548937
245,205198.79333333328,-3.637978807091713e-12,-1.0
246,204750.42583333328,0.0,-1.0
247,203929.2791666667,-2.091837814077735e-11,-1.0000000000000002
248,202119.82583333328,-2.182787284255028e-11,-1.0000000000000002
249,198603.9825,1.091393642127514e-11,-1.0
250,197527.0324962861,6.366462912410498e-12,-1.0
251,195296.07416666672,3.4560798667371267e-11,-1.0
252,194326.40500000003,27519.600455346423,-0.8583846572196587
253,193765.18,-3.637978807091713e-11,-1.0000000000000002
254,193675.7025,2.9103830456733704e-11,-1.0
255,193086.5358333333,22808.93218333328,-0.8818719695555505
256,192575.2275111793,1.091393642127514e-11,-1.0
257,192327.1175,248733.1454945281,0.2932817208916369
258,191060.7708333333,0.0,-1.0
259,191058.5891666667,5.4569682106375694e-11,-0.9999999999999996
260,190996.54583333328,29499.192079181557,-0.8455511750200811
261,190912.2833333333,2.9103830456733704e-11,-1.0
262,189758.8233200654,4922.811548608449,-0.9740575354416844
263,188495.8833333333,8908.831336457315,-0.9527372631225952
264,186635.505,1.4551915228366852e-11,-1.0
265,186610.13924264256,9.094947017729282e-12,-1.0
266,186123.245,-7.275957614183426e-12,-1.0
267,185699.1966666667,220875.81751666672,0.1894279645869586
268,183624.4899925057,0.0,-1.0
269,183488.4275,0.0,-1.0
270,182956.9933333333,3.637978807091713e-12,-1.0
271,180708.17916666667,3.637978807091713e-12,-1.0
272,179752.6791666667,0.0,-1.0
273,178412.1091666667,-1.4551915228366852e-11,-1.0
274,174035.9658333333,0.0008835711596475,-0.9999999949230542
275,172699.8466666667,2.9103830456733704e-11,-0.9999999999999998
276,172662.13416666668,8149.57027874186,-0.9528004775449186
