time,underlyingApy,impliedApy,volume
Tue May 14 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.6777,15588.3977
Tue May 14 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.6609,76234.9419
Wed May 15 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.6701,17611.9258
Wed May 15 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.6769,13045.7476
Wed May 15 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.6846,48285.6807
Wed May 15 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6801,35018.877
Wed May 15 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.6705,21065.7313
Wed May 15 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.6766,44672.8687
Wed May 15 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6743,13525.7359
Wed May 15 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,29831.0311
Wed May 15 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6611,1968.448
Wed May 15 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6868,49969.6563
Wed May 15 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6903,10939.9962
Wed May 15 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6944,74562.2153
Wed May 15 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.681,61111.3777
Wed May 15 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.685,9813.5683
Wed May 15 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6661,43241.8319
Wed May 15 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6774,33672.7626
Wed May 15 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6785,20103.8393
Wed May 15 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6781,9168.5789
Wed May 15 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6781,0
Wed May 15 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.6626,34182.2595
Wed May 15 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6626,8.624
Wed May 15 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6688,12381.5065
Wed May 15 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.6515,36205.8927
Wed May 15 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.6564,9557.9425
Thu May 16 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.6786,45980.5151
Thu May 16 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.6785,311.4736
Thu May 16 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.6785,122.7914
Thu May 16 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6522,91113.7865
Thu May 16 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.6727,16611.7847
Thu May 16 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.659,34236.2503
Thu May 16 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6623,47436.1121
Thu May 16 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6639,5595.1843
Thu May 16 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6659,4116.1333
Thu May 16 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6667,1519.2137
Thu May 16 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.669,62133.4197
Thu May 16 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6601,24253.0248
Thu May 16 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6585,21003.1789
Thu May 16 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6606,70925.3253
Thu May 16 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6539,33264.4241
Thu May 16 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6549,79013.3381
Thu May 16 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6441,37481.0264
Thu May 16 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6488,20704.3728
Thu May 16 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6446,91105.4778
Thu May 16 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.6557,25401.1402
Thu May 16 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6629,14221.6444
Thu May 16 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,23028.5965
