Datetime,ETH_Price,ETH_Returns,ENA_Price,ENA_Returns,claimed,total_claimed,Implied_APY,Stake,Total_Stake
2024-06-01 00:00:00+00:00,3812.92529296875,0.0134655463275712,0.9084975719451904,0.0339843478205423,6884.642508,497777250.54222,0.8182208333333333,1383470.93872357,287923930.94557
2024-06-02 00:00:00+00:00,3782.99560546875,-0.0077750640194924,0.9215711951255798,0.0160357455095196,2832.558745,497780083.10096496,0.7907666666666667,-650196.893496186,287273734.052074
2024-06-03 00:00:00+00:00,3766.455078125,-0.0041028707377331,1.0189017057418823,0.1053486177117559,221032330.37158448,718812413.4725493,0.7290208333333333,-756529.130917479,286517204.921156
2024-06-04 00:00:00+00:00,3813.09375,0.0124047822429818,0.977432131767273,-0.0393629024891867,454146.68662746414,719266560.159177,0.8236833333333333,-911862.134948221,285605342.786208
2024-06-05 00:00:00+00:00,3864.321533203125,0.0135367169355395,0.9784751534461976,0.0019667312919787,44688.13495564194,719311248.2941325,0.7328416666666667,-568279.529180336,285037063.257028
2024-06-06 00:00:00+00:00,3812.29638671875,-0.0134593930116886,0.9510235786437988,-0.0277734789717711,22099.289750230942,719333347.583883,0.7191166666666667,-280094.078410799,284756969.178617
2024-06-07 00:00:00+00:00,3678.51904296875,-0.0354391584810129,0.8847883343696594,-0.069242844440722,463722.4075906824,719797069.9914738,0.7589416666666667,1237381.87141615,285994351.050033
2024-06-08 00:00:00+00:00,3681.808837890625,0.0009417138439462,0.8307510018348694,-0.0622628677356874,19995.653583379128,719817065.6450571,0.8200916666666668,259629.219805444,286253980.269838
2024-06-09 00:00:00+00:00,3705.76025390625,0.0065175064370536,0.8305214047431946,0.0006542822110714,20696.33111833333,719837761.9761752,0.841075,379878.962949328,286633859.232788
2024-06-10 00:00:00+00:00,3666.818359375,-0.0104723280096041,0.7701107859611511,-0.0739933927346768,69720.17517033337,719907482.1513456,0.7952083333333334,1768170.75696666,288402029.989754
2024-06-11 00:00:00+00:00,3499.40283203125,-0.0463370774867352,0.709349513053894,-0.0806146469762284,68679.78546388824,719976161.9368097,0.8035416666666667,-13004670.3696119,275397359.620142
2024-06-12 00:00:00+00:00,3559.779296875,0.0179135826811179,0.7301709651947021,0.0329958178809378,100828.14640133338,720076990.0832108,0.7623083333333334,-2311001.2013546,273086358.418788
