time,underlyingApy,impliedApy,volume
Wed May 29 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,2324.7643
Wed May 29 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,0
Wed May 29 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,0
Wed May 29 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4739,16132.0598
Thu May 30 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4739,145.3352
Thu May 30 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4735,22654.6746
Thu May 30 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4677,168227.0198
Thu May 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4637,155292.0933
Thu May 30 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4627,77596.7362
Thu May 30 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4485,416343.4034
Thu May 30 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4643,356458.4686
Thu May 30 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.455,204562.0614
Thu May 30 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4542,139193.3898
Thu May 30 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4536,126217.3914
Thu May 30 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4396,415257.0022
Thu May 30 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4401,20814.6068
Thu May 30 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4213,548072.3546
Thu May 30 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4443,573263.5464
Thu May 30 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4334,215130.465
Thu May 30 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4324,41770.5487
Thu May 30 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4322,19339.5692
Thu May 30 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4315,12903.3668
Thu May 30 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4306,69547.0484
Thu May 30 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4318,150201.9956
Thu May 30 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4317,1099.3056
Thu May 30 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.427,91327.8572
Thu May 30 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4261,18667.569
Thu May 30 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4117,275504.3842
Fri May 31 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4084,145030.3448
Fri May 31 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4137,101609.067
Fri May 31 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4237,494031.9262
Fri May 31 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4237,0
Fri May 31 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4351,347516.2573
Fri May 31 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4351,0
Fri May 31 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,1499.0806
Fri May 31 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,0
Fri May 31 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,0
Fri May 31 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4346,15886.4065
Fri May 31 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4344,5121.68
Fri May 31 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4345,1518.2556
Fri May 31 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4345,219.5049
Fri May 31 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4343,17408.2565
Fri May 31 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4343,31515.0375
Fri May 31 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4335,16572.3715
Fri May 31 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4242,675340.6436
Fri May 31 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4243,68974.8598
Fri May 31 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4525,725065.0965
Fri May 31 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4488,183141.4737
Fri May 31 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4268,551796.4328
Fri May 31 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4264,7482.5669
Fri May 31 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4239,46027.8733
Fri May 31 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.423,18332.647
Sat Jun 01 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.421,36419.7655
Sat Jun 01 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4247,67878.1579
Sat Jun 01 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4231,29985.5608
Sat Jun 01 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4248,70439.4078
Sat Jun 01 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4248,0
Sat Jun 01 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4274,49295.6835
Sat Jun 01 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4277,230865.8042
Sat Jun 01 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4277,590.3041
Sat Jun 01 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4427,289859.7578
Sat Jun 01 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4432,10084.6997
Sat Jun 01 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4284,283026.3096
Sat Jun 01 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4273,20586.4517
Sat Jun 01 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4252,39889.4963
Sat Jun 01 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4248,6442.7351
Sat Jun 01 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4247,2995.6326
Sat Jun 01 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4185,206989.2892
Sat Jun 01 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4198,69910.5069
Sat Jun 01 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4196,5454.4298
Sat Jun 01 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4196,142.5891
Sat Jun 01 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,562.8073
Sat Jun 01 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,0
Sat Jun 01 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,90.3429
Sat Jun 01 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,0
Sat Jun 01 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,0
Sun Jun 02 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,0
Sun Jun 02 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4197,224.0131
Sun Jun 02 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4211,77673.8554
Sun Jun 02 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4316,195158.8794
Sun Jun 02 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4326,19495.9681
Sun Jun 02 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4325,2321.4409
Sun Jun 02 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4322,5004.0456
Sun Jun 02 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4322,0
Sun Jun 02 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4322,40.1496
Sun Jun 02 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4338,39680.4113
Sun Jun 02 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4339,5001.8712
Sun Jun 02 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.434,1011.639
Sun Jun 02 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4364,44988.8706
Sun Jun 02 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4371,12947.9984
Sun Jun 02 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.433,77109.0251
Sun Jun 02 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4298,58633.5835
Sun Jun 02 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4254,122282.9999
Sun Jun 02 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.427,30085.9565
Sun Jun 02 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4306,64586.9747
Sun Jun 02 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4292,24862.691
Sun Jun 02 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4292,29818.8088
Sun Jun 02 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.431,61205.2193
Sun Jun 02 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4308,3049.3467
Sun Jun 02 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4308,1849.2712
Mon Jun 03 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4309,0
Mon Jun 03 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4323,24163.1194
Mon Jun 03 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2144,0.4273,89143.429
Mon Jun 03 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4273,0
Mon Jun 03 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4273,0
Mon Jun 03 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4262,19971.7237
Mon Jun 03 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4305,82314.6952
Mon Jun 03 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4315,16930.0862
Mon Jun 03 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4315,0
Mon Jun 03 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.437,119593.8515
Mon Jun 03 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.437,84.8614
Mon Jun 03 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.437,0
Mon Jun 03 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.437,0
Mon Jun 03 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.437,0
Mon Jun 03 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4376,58872.5618
Mon Jun 03 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4377,62582.5623
Mon Jun 03 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4369,42075.1574
Mon Jun 03 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4352,83942.6994
Mon Jun 03 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4511,340633.1076
Mon Jun 03 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4491,37652.8078
Mon Jun 03 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4491,0
Mon Jun 03 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4481,17501.6068
Mon Jun 03 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4519,70394.0007
Mon Jun 03 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4488,61796.6764
Tue Jun 04 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4464,145267.9162
Tue Jun 04 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4454,17212.9963
Tue Jun 04 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2222,0.4479,237135.7685
Tue Jun 04 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4518,154892.2754
Tue Jun 04 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4553,62638.9411
Tue Jun 04 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4553,0
Tue Jun 04 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4594,408634.9014
Tue Jun 04 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4673,217870.0732
Tue Jun 04 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4711,89300.1974
Tue Jun 04 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4726,34277.5462
Tue Jun 04 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4726,30.4278
Tue Jun 04 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4726,0
Tue Jun 04 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4726,0
Tue Jun 04 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4726,0
Tue Jun 04 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4725,39566.8487
Tue Jun 04 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.472,11335.8867
Tue Jun 04 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4717,50802.3615
Tue Jun 04 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.472,118243.1498
Tue Jun 04 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.472,38107.6379
Tue Jun 04 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4714,11304.5996
Tue Jun 04 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4707,12550.5533
Tue Jun 04 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4717,19171.7217
Tue Jun 04 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4715,15454.6607
Tue Jun 04 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4715,0
Wed Jun 05 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4715,0
Wed Jun 05 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4732,31206.6487
Wed Jun 05 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2303,0.4719,36545.2647
Wed Jun 05 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4719,0
Wed Jun 05 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4719,0
Wed Jun 05 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4731,22152.1193
Wed Jun 05 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4731,0
Wed Jun 05 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4799,161838.0137
Wed Jun 05 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4881,315243.4317
Wed Jun 05 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4885,7976.8557
Wed Jun 05 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4895,17434.4848
Wed Jun 05 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4911,115010.6512
Wed Jun 05 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4978,195442.8141
Wed Jun 05 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4978,0
Wed Jun 05 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4982,5880.5856
Wed Jun 05 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4982,0
Wed Jun 05 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4913,248605.6975
Wed Jun 05 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4925,137550.8456
Wed Jun 05 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4906,34670.9945
Wed Jun 05 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4906,0
Wed Jun 05 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4853,150713.4292
Wed Jun 05 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4853,0
Wed Jun 05 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4853,0
Wed Jun 05 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4853,26862.7748
Thu Jun 06 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2389,0.4851,30000.7485
